REGION,COUNTRY,SECTOR,SUBSECTOR,YEAR,QUARTER,"Dividend, USD"
Canada,Canada,Financial,Banks,2017,17Q1,3357468034.47423
Canada,Canada,Financial,Banks,2017,17Q2,3386187686.76083
Canada,Canada,Financial,Banks,2017,17Q3,3668903826.19678
Canada,Canada,Financial,Banks,2017,17Q4,3691488202.20484
Canada,Canada,Financial,Banks,2018,18Q1,3817277189.07781
Canada,Canada,Financial,Banks,2018,18Q2,3856092358.45183
Canada,Canada,Financial,Banks,2018,18Q3,3849589536.37781
Canada,Canada,Financial,Banks,2018,18Q4,3879624623.21341
Canada,Canada,Financial,Banks,2019,19Q1,3894545834.40795
Canada,Canada,Financial,Banks,2019,19Q2,3983052054.97678
Canada,Canada,Financial,Banks,2019,19q3,4082389551.4716
Canada,Canada,Financial,Banks,2019,19Q4,4155995525.81166
Canada,Canada,Financial,Banks,2020,20Q1,4151804965.89817
Canada,Canada,Financial,Banks,2020,20Q2,4031244216.12686
Canada,Canada,Financial,Banks,2020,20Q3,4224849608.2791
Canada,Canada,Financial,Banks,2020,20Q4,4266367743.20958
Canada,Canada,Financial,Banks,2021,21Q1,4437491269.67931
Canada,Canada,Financial,Banks,2021,21q2,4616237570.34383
Canada,Canada,Financial,Banks,2021,21q3,4499719958.78273
Canada,Canada,Financial,Banks,2021,21Q4,4525230121.86103
Canada,Canada,Financial,Banks,2022,22q1,5038052387.00552
Canada,Canada,Financial,Banks,2022,22Q2,5010031015.27604
Canada,Canada,Financial,Banks,2022,22Q3,5132567674.80021
Canada,Canada,Financial,Banks,2022,22Q4,4908230988.98578
Canada,Canada,Financial,Banks,2023,23Q1,5140077668.40713
Canada,Canada,Financial,Banks,2023,23Q2,5107857316.98023
Canada,Canada,Financial,Banks,2023,23Q3,5332782044.21123
Canada,Canada,Financial,Banks,2023,23q4,5175916175.10534
Canada,Canada,Financial,Banks,2024,24q1,5457251796.73935
Canada,Canada,Financial,Banks,2024,24q2,5372841668.24275
Canada,Canada,Financial,Banks,2024,24q3,5440583128.71942
Canada,Canada,Financial,Banks,2024,24q4,5344620274.62466
Canada,Canada,Financial,Banks,2025,25Q1,5366932857.73054
Canada,Canada,Financial,Banks,2025,25q2,5628062800.27796
Canada,Canada,Financial,General Financial,2010,10Q1,74461766.47
Canada,Canada,Financial,General Financial,2010,10Q2,74606668.89
Canada,Canada,Financial,General Financial,2010,10Q3,74730673.55
Canada,Canada,Financial,General Financial,2010,10Q4,74878411.92
Canada,Canada,Financial,General Financial,2011,11Q1,78660214.49
Canada,Canada,Financial,General Financial,2011,11Q2,81140909.33
Canada,Canada,Financial,General Financial,2011,11Q3,81177453.63
Canada,Canada,Financial,General Financial,2011,11Q4,80903924.92
Canada,Canada,Financial,General Financial,2012,12Q1,80912474.37
Canada,Canada,Financial,General Financial,2012,12Q2,87267005.42
Canada,Canada,Financial,General Financial,2012,12Q3,87352304.2
Canada,Canada,Financial,General Financial,2012,12Q4,109160193.943228
Canada,Canada,Financial,General Financial,2013,13Q1,108464209.500955
Canada,Canada,Financial,General Financial,2013,13Q2,114781724.056706
Canada,Canada,Financial,General Financial,2013,13Q3,114272304.77375
Canada,Canada,Financial,General Financial,2013,13Q4,113811965.264471
Canada,Canada,Financial,General Financial,2014,14Q1,144591068.923376
Canada,Canada,Financial,General Financial,2014,14Q2,120091069.426585
Canada,Canada,Financial,General Financial,2014,14Q3,120323815.813002
Canada,Canada,Financial,General Financial,2014,14Q4,119598150.833086
Canada,Canada,Financial,General Financial,2015,15Q1,124341892.730129
Canada,Canada,Financial,General Financial,2015,15Q2,135337167.130607
Canada,Canada,Financial,General Financial,2015,15Q3,134070122.96756
Canada,Canada,Financial,General Financial,2015,15Q4,134024458.096916
Canada,Canada,Financial,General Financial,2016,16Q1,144675377.318142
Canada,Canada,Financial,General Financial,2016,16Q2,145390710.503579
Canada,Canada,Financial,General Financial,2016,16Q3,145087886.568101
Canada,Canada,Financial,General Financial,2016,16Q4,146958710.500012
Canada,Canada,Financial,General Financial,2017,17Q1,156612111.025292
Canada,Canada,Financial,General Financial,2017,17Q2,158970295.590632
Canada,Canada,Financial,General Financial,2017,17Q3,161185153.530849
Canada,Canada,Financial,General Financial,2017,17Q4,160000424.801203
Canada,Canada,Financial,General Financial,2018,18Q1,169631551.797123
Canada,Canada,Financial,General Financial,2018,18Q2,173616691.65008
Canada,Canada,Financial,General Financial,2018,18Q3,173386721.335047
Canada,Canada,Financial,General Financial,2018,18Q4,173360505.876025
Canada,Canada,Financial,General Financial,2019,19Q1,184847249.310254
Canada,Canada,Financial,General Financial,2019,19Q2,185198176.48968
Canada,Canada,Financial,General Financial,2019,19q3,185687920.822416
Canada,Canada,Financial,General Financial,2019,19Q4,195619195.183663
Canada,Canada,Financial,General Financial,2020,20Q1,215449385.061357
Canada,Canada,Financial,General Financial,2020,20Q2,216077894.623061
Canada,Canada,Financial,General Financial,2020,20Q3,219039344.652943
Canada,Canada,Financial,General Financial,2020,20Q4,219968659.944328
Canada,Canada,Financial,General Financial,2021,21Q1,236420294.671765
Canada,Canada,Financial,General Financial,2021,21q2,240716164.495187
Canada,Canada,Financial,General Financial,2021,21q3,247509207.910719
Canada,Canada,Financial,General Financial,2021,21Q4,247177059.671673
Canada,Canada,Financial,General Financial,2022,22q1,266232293.322658
Canada,Canada,Financial,General Financial,2022,22Q2,266649518.136012
Canada,Canada,Financial,General Financial,2022,22Q3,265354463.543721
Canada,Canada,Financial,General Financial,2022,22Q4,261396638.986938
Canada,Canada,Financial,General Financial,2023,23Q1,281793076.925958
Canada,Canada,Financial,General Financial,2023,23Q2,282657409.349804
Canada,Canada,Financial,General Financial,2023,23Q3,283481073.473362
Canada,Canada,Financial,General Financial,2023,23q4,283782914.01673
Canada,Canada,Financial,General Financial,2024,24q1,325155859.175592
Canada,Canada,Financial,General Financial,2024,24q2,337955636.199262
Canada,Canada,Financial,General Financial,2024,24q3,339328144.915007
Canada,Canada,Financial,General Financial,2024,24q4,337775003.157955
Canada,Canada,Financial,General Financial,2025,25Q1,903115861.70314
Canada,Canada,Financial,General Financial,2025,25q2,905226602.037179
Canada,Canada,Financial,Insurance,2010,10Q1,1063811094.40726
Canada,Canada,Financial,Insurance,2010,10Q2,839362157.324392
Canada,Canada,Financial,Insurance,2010,10Q3,860686209.006535
Canada,Canada,Financial,Insurance,2010,10Q4,884577286.078774
Canada,Canada,Financial,Insurance,2011,11Q1,1112204444.59554
Canada,Canada,Financial,Insurance,2011,11Q2,919928410.040391
Canada,Canada,Financial,Insurance,2011,11Q3,868350475.257273
Canada,Canada,Financial,Insurance,2011,11Q4,881942373.191595
Canada,Canada,Financial,Insurance,2012,12Q1,1110734467.88192
Canada,Canada,Financial,Insurance,2012,12Q2,893768733.626338
Canada,Canada,Financial,Insurance,2012,12Q3,929735693.320542
Canada,Canada,Financial,Insurance,2012,12Q4,922393802.122798
Canada,Canada,Financial,Insurance,2013,13Q1,1105373081.84363
Canada,Canada,Financial,Insurance,2013,13Q2,885446631.795828
Canada,Canada,Financial,Insurance,2013,13Q3,917598177.531619
Canada,Canada,Financial,Insurance,2013,13Q4,885985311.958094
Canada,Canada,Financial,Insurance,2014,14Q1,1066111411.233
Canada,Canada,Financial,Insurance,2014,14Q2,888791661.898148
